customer_id,first_name,last_name,age,gender,city,account_type,account_balance,date_of_account_opening,last_txn_date,txn_count,ref_date,days_since_last_txn,is_dormant,account_age_days,age_group
1,Joshua,Hall,45,M,Fort Worth,Current,1313.38,2006-05-26,2023-12-07,1,2023-12-31,24,0,6428,36-45
2,Mark,Taylor,47,F,Louisville,Current,5988.46,2006-03-02,2023-04-27,1,2023-12-31,248,1,6513,46-60
3,Joseph,Flores,25,F,Philadelphia,Current,8277.88,2015-07-19,2023-04-05,1,2023-12-31,270,1,3087,<25
4,Kevin,Lee,52,OTHER,Oklahoma City,Savings,7487.21,2008-01-30,2023-07-28,1,2023-12-31,156,1,5814,46-60
5,Linda,Johnson,68,OTHER,Phoenix,Savings,6993.55,2021-05-25,2023-01-16,1,2023-12-31,349,1,950,60+
6,Charles,Torres,52,M,El Paso,Savings,9295.64,2015-12-21,2023-04-21,1,2023-12-31,254,1,2932,46-60
7,Joshua,Garcia,43,M,Dallas,Current,4005.72,2022-07-07,2023-11-22,1,2023-12-31,39,0,542,36-45
8,Christopher,Baker,47,M,Memphis,Savings,1458.45,2022-12-14,2023-08-10,1,2023-12-31,143,1,382,46-60
9,Daniel,Moore,52,M,Indianapolis,Current,1109.3,2012-04-29,2023-09-28,1,2023-12-31,94,1,4263,46-60
10,William,Robinson,55,OTHER,Washington,Current,9554.62,2021-12-20,2023-12-29,1,2023-12-31,2,0,741,46-60
11,William,Perez,28,M,San Diego,Savings,5930.75,2015-08-12,2023-06-08,1,2023-12-31,206,1,3063,26-35
12,Nancy,Allen,37,F,Oklahoma City,Current,8126.85,2005-09-13,2023-04-04,1,2023-12-31,271,1,6683,36-45
13,Margaret,Robinson,63,F,Columbus,Savings,5402.04,2010-11-13,2023-12-02,1,2023-12-31,29,0,4796,60+
14,Michelle,Taylor,48,F,Colorado Springs,Savings,4045.09,2014-08-14,2023-10-27,1,2023-12-31,65,0,3426,46-60
15,Nancy,Nelson,51,OTHER,Atlanta,Savings,2082.67,2015-09-16,2023-06-13,1,2023-12-31,201,1,3028,46-60
16,Michael,Young,29,M,Fresno,Savings,8578.44,2016-10-02,2023-10-23,1,2023-12-31,69,0,2646,26-35
17,Lisa,Adams,65,F,Austin,Current,728.8,2006-07-07,2023-11-15,1,2023-12-31,46,0,6386,60+
18,Mary,Wilson,45,F,Omaha,Savings,9012.31,2019-08-12,2023-09-12,1,2023-12-31,110,1,1602,36-45
19,Nancy,Martinez,20,OTHER,Tucson,Current,2129.63,2005-08-18,2023-11-15,1,2023-12-31,46,0,6709,<25
20,Amanda,Campbell,65,OTHER,Milwaukee,Savings,194.36,2017-04-24,2023-09-30,1,2023-12-31,92,1,2442,60+
21,Ashley,Scott,59,OTHER,Fresno,Savings,1128.58,2016-10-29,2023-02-07,1,2023-12-31,327,1,2619,46-60
22,Donna,King,69,F,San Antonio,Current,8846.74,2005-01-01,2023-07-01,1,2023-12-31,183,1,6938,60+
23,Mary,Rodriguez,22,OTHER,El Paso,Savings,829.7,2011-09-02,2023-07-06,1,2023-12-31,178,1,4503,<25
24,Charles,Adams,30,F,San Antonio,Savings,3616.88,2014-10-07,2023-01-25,1,2023-12-31,340,1,3372,26-35
25,Steven,Ramirez,29,M,Boston,Savings,2578.13,2004-06-04,2023-11-29,1,2023-12-31,32,0,7149,26-35
26,Barbara,Hernandez,18,F,Chicago,Current,464.86,2022-10-01,2023-05-22,1,2023-12-31,223,1,456,<25
27,Lisa,Wilson,69,M,Kansas City,Savings,5361.52,2006-07-27,2023-05-04,1,2023-12-31,241,1,6366,60+
28,Amanda,Hill,60,F,Oklahoma City,Savings,9983.5,2018-08-10,2023-01-25,1,2023-12-31,340,1,1969,46-60
29,Matthew,Campbell,36,M,Fresno,Savings,8544.77,2000-11-12,2023-10-18,1,2023-12-31,74,0,8449,36-45
30,Ronald,Jackson,46,F,Baltimore,Current,1772.04,2015-02-12,2023-12-01,1,2023-12-31,30,0,3244,46-60
31,Anthony,Anderson,64,F,San Francisco,Current,8854.73,2004-09-15,2023-06-24,1,2023-12-31,190,1,7046,60+
32,Carol,Ramirez,67,F,Jacksonville,Current,4572.76,2010-05-04,2023-08-20,1,2023-12-31,133,1,4989,60+
33,Betty,White,65,F,Sacramento,Current,2805.18,2003-07-30,2023-05-25,1,2023-12-31,220,1,7459,60+
34,Jessica,Davis,56,OTHER,Oklahoma City,Savings,6439.03,2005-08-23,2023-12-11,1,2023-12-31,20,0,6704,46-60
35,Joseph,Nelson,59,F,Seattle,Current,2245.28,2002-01-05,2023-01-23,1,2023-12-31,342,1,8030,46-60
36,Timothy,Rodriguez,42,F,Portland,Current,8808.55,2009-07-08,2023-08-12,1,2023-12-31,141,1,5289,36-45
37,Amanda,Campbell,33,OTHER,Mesa,Current,6279.42,2008-07-28,2023-05-02,1,2023-12-31,243,1,5634,26-35
38,Michael,Allen,34,OTHER,El Paso,Current,1446.62,2002-05-16,2023-08-11,1,2023-12-31,142,1,7899,26-35
39,Paul,Allen,45,OTHER,Albuquerque,Savings,5749.42,2008-07-20,2023-08-18,1,2023-12-31,135,1,5642,36-45
40,John,Jackson,56,OTHER,Jacksonville,Savings,5152.67,2020-01-13,2023-01-17,1,2023-12-31,348,1,1448,46-60
41,Charles,Williams,60,OTHER,Austin,Current,4767.41,2018-08-13,2023-10-12,1,2023-12-31,80,0,1966,46-60
42,David,Martinez,66,OTHER,Kansas City,Current,3713.26,2015-10-29,2023-01-02,1,2023-12-31,363,1,2985,60+
43,Joshua,Flores,22,OTHER,Philadelphia,Current,4794.63,2006-06-23,2023-09-24,1,2023-12-31,98,1,6400,<25
44,Karen,Campbell,18,OTHER,Fresno,Current,5901.51,2010-03-21,2023-01-16,1,2023-12-31,349,1,5033,<25
45,Patricia,Adams,20,OTHER,Mesa,Savings,7362.34,2001-05-03,2023-12-03,1,2023-12-31,28,0,8277,<25
46,Matthew,Smith,65,OTHER,Atlanta,Savings,9186.97,2005-06-02,2023-01-21,1,2023-12-31,344,1,6786,60+
47,Susan,Lewis,41,OTHER,San Francisco,Current,539.4,2005-12-11,2023-09-08,1,2023-12-31,114,1,6594,36-45
48,Stephanie,Roberts,46,M,Omaha,Current,5736.51,2012-06-20,2023-10-04,1,2023-12-31,88,0,4211,46-60
49,David,King,32,F,Omaha,Current,7544.54,2021-01-30,2023-01-06,1,2023-12-31,359,1,1065,26-35
50,Sandra,Gonzalez,21,F,Fort Worth,Current,1243.99,2022-03-02,2023-10-29,1,2023-12-31,63,0,669,<25
51,Mary,Smith,61,OTHER,Nashville,Current,9123.83,2021-09-07,2023-08-25,1,2023-12-31,128,1,845,60+
52,Sarah,King,18,OTHER,Omaha,Current,2525.4,2015-10-25,2023-01-23,1,2023-12-31,342,1,2989,<25
53,Betty,Lewis,66,M,Denver,Current,8349.99,2020-06-03,2023-11-10,1,2023-12-31,51,0,1306,60+
54,Timothy,Mitchell,32,OTHER,Chicago,Savings,6653.87,2014-05-28,2023-07-04,1,2023-12-31,180,1,3504,26-35
55,John,Campbell,41,M,Seattle,Savings,5639.51,2013-01-24,2023-08-12,1,2023-12-31,141,1,3993,36-45
56,Amanda,Gonzalez,69,F,Denver,Savings,8705.5,2007-05-17,2023-02-08,1,2023-12-31,326,1,6072,60+
57,Linda,Mitchell,48,F,Philadelphia,Current,9695.42,2022-11-30,2023-01-31,1,2023-12-31,334,1,396,46-60
58,Timothy,Carter,37,OTHER,Indianapolis,Savings,9971.6,2021-02-16,2023-01-02,1,2023-12-31,363,1,1048,36-45
59,Andrew,Lewis,27,M,San Diego,Current,6864.48,2012-09-05,2023-12-08,1,2023-12-31,23,0,4134,26-35
60,Susan,Hill,28,M,Seattle,Current,3457.4,2004-08-22,2023-06-14,1,2023-12-31,200,1,7070,26-35
61,Thomas,White,35,F,Colorado Springs,Current,8759.52,2009-01-06,2023-10-27,1,2023-12-31,65,0,5472,26-35
62,Margaret,Sanchez,51,F,Fort Worth,Savings,6578.05,2004-06-25,2023-05-07,1,2023-12-31,238,1,7128,46-60
63,Stephanie,Taylor,45,M,Jacksonville,Savings,3300.96,2007-12-15,2023-11-15,1,2023-12-31,46,0,5860,36-45
64,Michelle,Miller,55,M,San Antonio,Current,9330.41,2012-11-09,2023-03-16,1,2023-12-31,290,1,4069,46-60
65,Patricia,Gonzalez,33,F,New York,Savings,7501.74,2009-07-17,2023-11-05,1,2023-12-31,56,0,5280,26-35
